GOTERM,AhypochondriacusGO,AinsularisGO,AlongiglumisGO,AsativaGO,BarbusculaGO,BdistachyonGO,CarabicaGO,ClaxumGO,CquinoaGO,DcarotaGO,EanacuaGO,EcoracanaGO,FxnanassaGO,GhirsutunGO,GmaxGO,HannuusGO,HvulgareGO,LculinarisGO,LsativaGO,MdomesticaGO,MsinensisGO,ObarthiiGO,ObrachyantaGO,OeuropaeaGO,OglaberrimaGO,OglumipatulaGO,OindicaGO,OjaponicaGO,OlongistaminataGO,OmeridionalisGO,OnivaraGO,OpunctataGO,OrufipogonGO,PersicaGO,phalliGO,platifolliusGO,PvirgatumGO,PvulgarisGO,SecalecerealeGO,SitalicaGO,SlycopersicumGO,StuberosumGO,SviridisGO,TadicoccoidesGO,TintermediumGO,TriticumaestivumGO,TspeltaGO,TtimopheeviiGO,TturgidumGO,TurartuGO,UfuscaGO,VfabaGO,VunguiculataGO,VviniferaGO,ZeamaysGO
organic cyclic compound binding,71,772,439,1149,8689,11452,12088,647,118,2855,3641,821,154,17489,6764,210,462,330,128,946,1397,680,2824,164,445,1837,2326,3970,1431,1816,2534,1892,3055,3791,102,2518,3791,8892,167,4064,3575,4961,345,732,486,327,331,404,504,94,2147,286,467,5504,21753
protein binding,35,306,186,367,2172,2923,2623,175,47,757,807,247,61,4510,1377,46,207,112,48,258,381,179,738,62,89,456,551,947,343,484,655,493,761,973,32,600,973,2180,104,900,944,1378,88,314,290,234,226,218,316,54,602,93,125,1494,5862
transferase activity,35,269,160,385,4957,6105,6759,369,83,1608,2463,576,69,10142,3839,28,104,134,24,437,881,466,1645,95,209,1279,1557,2635,980,1276,1707,1261,2044,2534,51,1486,2534,5389,15,2619,2236,3004,191,222,109,16,20,88,65,33,1271,102,159,3703,12819
hydrolase activity,31,277,163,382,4051,5390,5971,305,39,1357,1922,455,33,7601,2732,32,126,132,48,338,703,275,1338,63,118,866,1061,1886,677,876,1173,896,1454,2079,29,1154,2079,4058,10,1968,1712,2227,122,118,97,14,13,27,50,10,1020,98,136,3108,10345
small molecule binding,23,252,146,356,4573,6279,5984,316,56,1232,2043,393,88,8302,5849,56,151,135,64,328,745,352,1490,69,184,917,1095,1969,783,926,1243,921,1478,1980,41,1257,1980,4585,16,2153,1687,2166,155,235,127,21,25,38,82,28,1175,124,214,2740,11865
DNA-binding transcription factor activity,10,31,20,31,1104,1429,1499,63,3,681,377,70,15,3253,942,2,15,19,5,262,146,87,355,12,46,267,394,606,153,245,376,280,453,511,3,177,511,1547,0,634,721,914,37,17,6,0,0,2,2,0,211,7,39,818,1939
enzyme regulator activity,5,29,24,47,503,646,750,29,5,291,216,37,4,1350,354,3,7,8,1,65,102,42,179,11,11,93,141,245,86,95,143,116,179,266,1,122,266,607,1,227,306,440,13,5,3,3,3,4,7,2,117,4,14,395,1351
lipid binding,2,24,19,34,341,486,464,41,2,168,189,40,0,840,244,1,4,10,3,70,55,34,129,11,17,83,114,192,76,77,141,95,156,227,2,92,227,426,0,155,178,231,11,2,6,2,2,2,0,3,89,3,18,264,852
carbohydrate binding,2,17,13,24,213,340,261,17,6,78,107,18,1,482,183,0,1,3,0,17,39,65,106,4,36,115,112,230,110,103,128,72,141,133,6,89,133,282,0,182,171,252,22,8,4,1,0,1,1,4,86,4,9,195,662
translation regulator activity, ,0,18,14,63,197,212,250,16,1,68,102,22,3,359,0,15,9,11,2,23,46,13,65,4,9,32,40,75,26,30,42,46,58,81,1,87,81,125,5,42,49,91,7,11,7,2,2,14,6,1,25,2,3,123,730
signaling receptor activity,0,14,9,21,164,243,216,7,2,64,68,7,3,435,0,0,0,3,0,27,44,16,40,4,9,40,50,93,34,31,50,35,64,115,1,26,115,217,0,63,98,127,7,0,0,0,0,1,0,0,47,4,4,122,215
chromatin binding,0,3,15,9,273,338,248,25,0,60,59,11,1,395,0,0,6,2,0,20,34,16,61,0,2,40,41,89,24,54,58,40,75,67,0,55,67,250,0,81,105,111,2,0,7,0,0,0,0,0,70,1,6,130,803
