GOTERM,AhypochondriacusGO,AinsularisGO,AlongiglumisGO,AsativaGO,BarbusculaGO,BdistachyonGO,CarabicaGO,ClaxumGO,CquinoaGO,DcarotaGO,EanacuaGO,EcoracanaGO,FxnanassaGO,GhirsutunGO,GmaxGO,HannuusGO,HvulgareGO,LculinarisGO,LsativaGO,MdomesticaGO,MsinensisGO,ObarthiiGO,ObrachyantaGO,OeuropaeaGO,OglaberrimaGO,OglumipatulaGO,OindicaGO,OjaponicaGO,OlongistaminataGO,OmeridionalisGO,OnivaraGO,OpunctataGO,OrufipogonGO,PersicaGO,phalliGO,platifolliusGO,PvirgatumGO,PvulgarisGO,SecalecerealeGO,SitalicaGO,SlycopersicumGO,StuberosumGO,SviridisGO,TadicoccoidesGO,TintermediumGO,TriticumaestivumGO,TspeltaGO,TtimopheeviiGO,TturgidumGO,TurartuGO,UfuscaGO,VfabaGO,VunguiculataGO,VviniferaGO,ZeamaysGO
intracellular anatomical structure,134,1410,898,2091,12945,16536,16594,1221,150,5142,5937,1545,223,26521,8627,410,720,542,205,1689,2546,1033,4773,270,739,2978,3564,6086,1643,3046,4066,3092,4844,6378,186,4287,6378,13993,232,5637,5785,7973,468,1131,737,712,746,1095,691,146,3118,398,853,9652,30761
organelle,119,1212,765,1822,10457,13379,12819,978,129,4180,4518,1224,171,21388,7215,398,666,464,177,1391,1996,825,3840,220,662,2360,2866,4880,1511,2401,3281,2452,3874,4968,164,3367,4968,11234,225,4493,4548,6425,377,1061,655,705,736,1056,670,134,2475,360,753,7491,25092
cytoplasm,88,928,588,1476,7913,9995,10565,860,83,3242,3955,1142,142,15964,4712,349,452,374,130,1033,1794,685,3293,178,565,1960,2315,4024,364,2025,2671,2034,3206,4176,141,3125,4176,8593,130,3443,3612,4995,310,776,445,473,522,903,382,97,1897,297,666,6343,18543
membrane,69,609,368,777,7821,10076,11370,616,106,3271,3583,887,92,17623,5933,194,150,284,69,798,1360,753,2855,153,469,2022,2562,4405,1392,2015,2746,1877,3207,3563,105,2191,3563,9247,63,3916,3816,5245,307,306,264,234,239,472,147,56,1857,216,642,6077,16723
cytosol,18,190,83,368,1198,1541,1964,167,14,652,762,246,45,2730,702,78,91,87,14,267,457,131,701,33,116,383,419,720,172,395,503,424,562,655,38,669,655,1604,39,475,526,704,50,188,104,59,70,83,64,11,356,40,122,920,3231
endomembrane system,15,134,86,176,1982,2614,2209,175,17,691,906,234,26,3768,1168,8,41,50,9,173,391,156,801,31,48,446,535,969,266,484,648,447,741,951,13,655,951,1859,2,891,760,1031,52,28,42,4,4,5,22,10,429,26,32,1364,5238
cell periphery,10,95,58,159,1825,2419,2035,126,20,695,789,172,22,3645,1349,16,20,47,10,153,263,177,578,26,87,450,587,1075,310,400,578,393,695,881,21,395,881,1803,3,833,890,1229,61,86,39,20,22,11,17,12,410,43,70,1336,3345
extracellular region,6,37,21,38,556,700,1186,43,2,282,238,73,6,1224,433,1,5,10,1,76,87,54,308,5,23,155,298,467,121,148,203,139,250,384,1,123,384,859,5,419,340,421,29,5,23,4,5,7,2,0,148,9,35,487,1065
nucleoplasm,3,61,31,76,380,433,405,32,1,116,140,38,1,633,208,0,1,4,0,43,86,27,142,2,9,68,80,153,30,89,99,77,134,133,5,128,133,457,2,157,105,184,9,16,8,1,1,0,3,3,117,3,14,248,1032
membrane-enclosed lumen,3,85,46,116,629,748,735,59,2,208,227,79,0,1103,568,0,2,15,1,74,144,47,258,5,13,141,168,295,54,162,217,164,256,271,6,200,271,739,2,262,236,371,10,23,20,4,3,3,7,4,199,6,19,508,1632
organelle envelope,3,8,10,15,171,186,126,8,2,48,44,13,1,192,420,1,3,3,0,6,11,7,39,0,3,28,32,41,30,35,41,24,38,48,0,30,48,100,0,63,43,43,0,1,10,0,0,0,0,2,50,1,1,102,314
external encapsulating structure,0,2,0,5,100,92,136,7,0,34,28,13,0,143,0,0,0,1,0,3,9,6,55,0,2,18,50,94,24,16,25,20,30,37,0,15,37,95,0,62,44,102,2,0,0,0,0,0,0,0,27,0,0,40,113
