GOTERM,AhypochondriacusGO,AinsularisGO,AlongiglumisGO,AsativaGO,BarbusculaGO,BdistachyonGO,CarabicaGO,ClaxumGO,CquinoaGO,DcarotaGO,EanacuaGO,EcoracanaGO,FxnanassaGO,GhirsutunGO,GmaxGO,HannuusGO,HvulgareGO,LculinarisGO,LsativaGO,MdomesticaGO,MsinensisGO,ObarthiiGO,ObrachyantaGO,OeuropaeaGO,OglaberrimaGO,OglumipatulaGO,OindicaGO,OjaponicaGO,OlongistaminataGO,OmeridionalisGO,OnivaraGO,OpunctataGO,OrufipogonGO,PersicaGO,phalliGO,platifolliusGO,PvirgatumGO,PvulgarisGO,SecalecerealeGO,SitalicaGO,SlycopersicumGO,StuberosumGO,SviridisGO,TadicoccoidesGO,TintermediumGO,TriticumaestivumGO,TspeltaGO,TtimopheeviiGO,TturgidumGO,TurartuGO,UfuscaGO,VfabaGO,VunguiculataGO,VviniferaGO,ZeamaysGO
metabolic process,103,958,577,1738,11879,15060,15579,1061,100,4541,5339,1341,182,23988,8057,257,475,400,108,1435,2185,946,4067,206,611,2663,3441,5688,1954,2759,3608,2782,4387,6116,147,3343,6116,12184,107,5577,5513,7809,411,784,479,269,297,646,327,87,2925,263,681,8908,27684
cellular component organization or biogenesis,29,295,181,483,2848,3656,3213,249,23,983,1098,291,40,4979,2108,54,157,107,52,268,515,192,957,53,98,583,641,1135,441,600,816,626,950,1162,30,870,1162,2774,88,1161,1024,1667,70,202,188,195,211,184,148,40,749,68,107,1849,7715
establishment of localization,31,241,140,339,3131,4224,3649,246,52,1139,1515,374,45,6099,1930,109,84,112,31,312,601,223,1112,72,176,614,753,1356,454,650,852,647,1046,1588,38,990,1588,3143,30,1262,1266,1696,86,142,158,77,98,293,98,22,755,82,208,2317,7510
anatomical structure development,8,76,38,95,1162,1393,863,86,4,463,400,125,16,1399,482,5,50,9,2,108,134,69,459,14,26,250,286,545,167,253,366,248,411,490,7,306,490,1027,1,458,314,603,25,19,17,1,1,4,3,2,299,16,47,825,2276
response to stress,7,116,61,149,2089,2539,3840,163,21,754,829,192,31,3206,1288,6,15,43,4,152,346,207,807,32,96,491,645,1063,432,479,700,525,829,994,15,537,994,2386,0,1085,1233,1714,64,57,53,4,3,11,3,13,501,25,122,1392,4074
regulation of cellular process,6,94,69,123,1468,1944,1551,69,4,566,735,100,16,3064,3377,7,26,29,3,206,201,108,518,25,46,291,340,608,218,281,379,256,471,792,7,356,792,1738,0,604,666,1098,31,65,40,2,4,4,6,6,323,24,55,1074,3602
multicellular organism development,7,64,30,76,928,1125,621,72,4,363,316,97,14,1089,0,5,49,4,2,82,110,55,370,10,23,202,242,453,136,224,304,203,342,407,5,246,407,815,1,365,243,488,15,16,15,1,1,4,1,2,260,2,42,707,1838
signaling,6,85,48,108,1311,1745,1472,65,4,547,705,96,16,2937,1065,7,24,27,3,204,178,98,493,23,43,264,315,562,197,253,351,231,425,752,7,335,752,1678,0,567,624,1052,31,63,39,2,4,4,6,6,285,24,56,984,3182
cell communication,6,85,48,108,1332,1783,1474,66,4,552,705,96,16,2942,1072,7,24,27,3,205,180,98,498,23,43,266,316,565,198,260,354,233,428,756,7,339,756,1687,0,569,626,1055,31,63,39,2,4,4,6,6,302,24,56,997,3208
response to chemical,7,83,52,107,1414,1776,1249,75,9,578,579,130,12,2693,842,5,17,23,1,205,178,82,550,25,39,240,353,620,180,230,352,252,416,765,4,298,765,1336,3,560,598,1049,40,40,33,16,16,13,4,9,226,5,51,1121,2815
